,name,labels_to_delete,weigths,test_acc,best_accuracy,all_labels,all_predictions,pr_rec_f1,pred_time
0,bert,[],[],37.045,37.045,"[2, 2, 5, 4, 5, 5, 0, 2, 7, 2, 4, 5, 5, 5, 7, 0, 8, 7, 1, 5, 1, 3, 0, 2, 1, 7, 0, 2, 0, 1, 5, 1, 1, 2, 1, 1, 1, 8, 1, 5, 8, 0, 7, 4, 5, 0, 0, 2, 7, 5, 7, 1, 5, 5, 7, 0, 0, 7, 4, 2, 6, 7, 4, 7, 0, 0, 3, 4, 4, 4, 8, 0, 3, 2, 4, 1, 0, 1, 0, 1, 4, 7, 2, 1, 7, 5, 0, 2, 0, 2, 5, 0, 0, 5, 1, 4, 3, 1, 7, 7, 0, 0, 7, 0, 7, 0, 5, 3, 5, 1, 0, 3, 0, 2, 0, 1, 0, 6, 7, 7, 0, 1, 1, 7, 0, 4, 1, 1, 0, 7, 8, 4, 2, 1, 2, 0, 3, 6, 2, 0, 5, 7, 5, 5, 0, 7, 2, 4, 8, 1, 5, 7, 7, 2, 8, 4, 8, 2, 3, 4, 5, 0, 5, 7, 8, 7, 2, 2, 0, 1, 4, 7, 0, 7, 4, 0, 1, 1, 4, 8, 7, 7, 4, 4, 5, 2, 0, 3, 2, 5, 4, 1, 7, 3, 7, 0, 1, 5, 0, 7, 5, 1, 4, 2, 1, 8, 0, 4, 1, 0, 3, 2, 4, 2, 2, 5, 2, 7, 1, 5, 4, 5, 1, 8, 5, 1, 6, 0, 1, 1, 8, 4, 0, 5, 1, 1, 0, 1, 4, 0, 1, 7, 3, 1, 7, 3, 0, 7, 7, 1, 1, 4, 7, 7, 2, 4, 5, 2, 8, 4, 4, 5, 2, 7, 1, 1, 4, 8, 0, 5, 0, 2, 1, 7, 8, 0, 0, 2, 5, 6, 4, 0, 1, 1, 6, 2, 3, 4, 5, 3, 6, 0, 7, 4, 5, 1, 4, 3, 7, 7, 8, 7, 6, 5, 7, 4, 3, 5, 7, 8, 1, 5, 8, 7, 4, 1, 7, 4, 8, 1, 1, 7, 4, 0, 8, 7, 7, 6, 5, 4, 1, 1, 1, 0, 1, 5, 6, 0, 0, 4, 7, 8, 4, 2, 1, 1, 5, 1, 5, 3, 3, 7, 5, 7, 0, 0, 1, 7, 5, 6, 1, 2, 7, 7, 0, 8, 8, 5, 0, 8, 2, 4, 7, 1, 4, 7, 1, 7, 3, 4, 2, 4, 5, 4, 0, 7, 1, 6, 7, 5, 5, 5, 5, 0, 1, 1, 7, 0, 4, 4, 4, 5, 5, 7, 5, 8, 0, 1, 2, 8, 2, 6, 7, 7, 6, 7, 8, 7, 0, 5, 7, 5, 4, 0, 1, 7, 5, 2, 7, 2, 8, 2, 4, 5, 0, 1, 1, 2, 7, 2, 1, 5, 1, 0, 0, 0, 1, 4, 0, 2, 0, 1, 4, 8, 8, 7, 3, 4, 7, 1, 0, 3, 2, 6, 4, 2, 5, 1, 3, 4, 0, 5, 4, 3, 0, 2, 7, 3, 7, 7, 2, 5, 1, 4, 4, 8, 1, 0, 5, 3, 4, 1, 4, 0]","[0, 0, 5, 5, 5, 7, 5, 0, 1, 5, 7, 5, 5, 7, 2, 7, 5, 5, 7, 5, 4, 1, 1, 2, 1, 7, 7, 5, 0, 7, 0, 4, 1, 7, 1, 1, 7, 1, 0, 1, 0, 2, 7, 4, 5, 0, 5, 0, 7, 7, 1, 5, 5, 7, 7, 4, 8, 4, 7, 2, 2, 7, 7, 4, 2, 1, 5, 2, 1, 4, 4, 2, 3, 2, 1, 1, 0, 1, 2, 7, 3, 2, 4, 4, 1, 5, 7, 5, 0, 5, 7, 2, 5, 5, 1, 4, 0, 8, 7, 7, 0, 0, 5, 5, 2, 5, 2, 7, 5, 4, 0, 5, 4, 5, 0, 1, 0, 1, 4, 7, 1, 2, 1, 7, 5, 1, 1, 0, 5, 7, 0, 6, 2, 1, 0, 4, 4, 0, 8, 2, 0, 2, 5, 5, 0, 5, 0, 4, 0, 7, 5, 2, 7, 2, 5, 7, 4, 2, 1, 4, 2, 0, 5, 8, 8, 1, 0, 2, 0, 7, 0, 7, 0, 5, 0, 2, 1, 2, 4, 1, 1, 2, 4, 4, 7, 4, 0, 8, 0, 0, 4, 4, 5, 7, 7, 4, 2, 5, 0, 7, 0, 5, 4, 5, 7, 1, 0, 8, 1, 5, 5, 0, 4, 5, 2, 5, 2, 8, 1, 5, 4, 2, 2, 0, 0, 1, 0, 7, 2, 5, 8, 0, 0, 5, 1, 0, 0, 2, 1, 7, 5, 1, 3, 2, 4, 4, 0, 7, 0, 1, 7, 2, 7, 1, 5, 1, 5, 2, 2, 4, 5, 2, 2, 0, 1, 5, 4, 4, 1, 5, 7, 1, 1, 2, 2, 5, 8, 4, 7, 8, 8, 2, 1, 1, 5, 1, 1, 1, 2, 4, 2, 4, 1, 8, 1, 0, 7, 7, 7, 7, 2, 1, 0, 5, 7, 4, 3, 1, 1, 1, 1, 5, 1, 7, 1, 7, 7, 1, 0, 1, 4, 7, 8, 0, 4, 7, 4, 0, 5, 4, 7, 0, 4, 0, 1, 5, 0, 5, 0, 4, 2, 2, 4, 0, 4, 1, 2, 1, 5, 5, 0, 1, 5, 7, 4, 1, 3, 7, 8, 2, 2, 5, 1, 6, 8, 0, 4, 5, 0, 8, 1, 0, 1, 7, 3, 1, 1, 7, 7, 2, 5, 4, 8, 2, 4, 7, 7, 0, 7, 2, 5, 7, 5, 0, 1, 4, 0, 5, 4, 8, 0, 5, 5, 7, 2, 8, 2, 1, 1, 5, 2, 2, 7, 4, 2, 8, 5, 2, 5, 5, 2, 5, 4, 0, 1, 1, 5, 5, 1, 2, 0, 1, 1, 5, 1, 5, 0, 7, 7, 7, 7, 7, 0, 1, 0, 1, 4, 4, 0, 2, 0, 7, 7, 0, 4, 5, 1, 5, 7, 5, 0, 8, 7, 2, 1, 7, 5, 4, 1, 4, 5, 2, 4, 3, 0, 0, 5, 7, 1, 7, 2, 5, 1, 1, 4, 4, 7, 0, 5, 4, 4, 4, 1, 0]","{0: [0.4050632911392405, 0.41025641025641024, 0.40764331210191085], 1: [0.3563218390804598, 0.3780487804878049, 0.3668639053254438], 2: [0.23076923076923078, 0.29411764705882354, 0.25862068965517243], 3: [0.5714285714285714, 0.15384615384615385, 0.24242424242424243], 4: [0.4, 0.40625, 0.40310077519379844], 5: [0.4318181818181818, 0.5757575757575758, 0.4935064935064935], 6: [0.0, 0.0, 0.0], 7: [0.4177215189873418, 0.4125, 0.41509433962264153], 8: [0.18181818181818182, 0.125, 0.14814814814814814]}",-0.5681915283203125
1,bert,[],"[1, 1, 2, 3, 1.33, 1.33, 5, 1, 2.5]",34.211,34.211,"[7, 1, 0, 8, 1, 1, 7, 5, 0, 7, 1, 4, 5, 7, 7, 5, 7, 5, 6, 4, 0, 5, 4, 4, 5, 1, 4, 3, 5, 4, 7, 4, 3, 0, 7, 2, 5, 0, 2, 2, 5, 8, 0, 1, 1, 0, 5, 2, 3, 8, 8, 7, 1, 5, 3, 7, 2, 0, 1, 5, 4, 2, 4, 5, 1, 5, 2, 0, 0, 6, 6, 2, 0, 4, 1, 3, 4, 8, 0, 5, 4, 7, 0, 7, 1, 8, 8, 4, 5, 0, 3, 0, 1, 7, 0, 2, 7, 5, 3, 0, 5, 2, 1, 1, 0, 5, 4, 1, 7, 1, 0, 5, 5, 1, 5, 7, 4, 4, 7, 1, 4, 4, 7, 0, 4, 7, 1, 0, 2, 0, 0, 1, 5, 5, 7, 2, 2, 4, 7, 7, 1, 7, 4, 1, 5, 1, 7, 6, 1, 8, 4, 1, 3, 1, 8, 7, 8, 5, 1, 4, 7, 0, 7, 1, 2, 1, 1, 5, 2, 1, 3, 2, 5, 0, 4, 0, 2, 5, 8, 6, 7, 5, 1, 8, 7, 4, 0, 7, 6, 2, 8, 8, 6, 1, 3, 7, 7, 4, 4, 0, 0, 3, 2, 1, 8, 1, 4, 1, 4, 1, 2, 4, 4, 7, 7, 0, 0, 7, 7, 7, 7, 2, 5, 1, 3, 0, 4, 1, 7, 4, 2, 6, 4, 2, 2, 0, 5, 4, 2, 5, 0, 7, 1, 8, 1, 4, 5, 5, 1, 5, 0, 5, 7, 5, 7, 2, 0, 5, 0, 1, 1, 7, 7, 0, 2, 2, 2, 5, 1, 6, 7, 4, 7, 2, 0, 5, 7, 5, 5, 1, 4, 1, 1, 7, 1, 1, 0, 4, 0, 1, 5, 7, 2, 1, 4, 3, 1, 0, 0, 7, 4, 4, 4, 8, 8, 8, 1, 7, 6, 0, 8, 5, 1, 7, 4, 0, 0, 2, 1, 7, 1, 7, 7, 7, 0, 0, 6, 7, 6, 0, 0, 4, 8, 4, 0, 5, 7, 7, 1, 4, 2, 8, 4, 1, 1, 4, 2, 2, 8, 5, 2, 4, 0, 1, 2, 0, 1, 5, 1, 1, 2, 2, 5, 0, 2, 1, 8, 1, 2, 3, 3, 0, 4, 7, 7, 1, 8, 0, 7, 0, 1, 0, 0, 1, 1, 8, 1, 1, 0, 5, 8, 4, 0, 5, 7, 8, 3, 1, 4, 2, 0, 2, 7, 5, 1, 0, 3, 2, 7, 2, 2, 0, 0, 7, 7, 8, 0, 7, 4, 7, 7, 7, 5, 5, 3, 1, 0, 5, 4, 0, 8, 5, 5, 4, 3, 5, 5, 8, 7, 6, 7, 5, 2, 7, 1, 1, 4, 6, 0, 7, 1, 4, 7, 5, 2, 1, 4, 4, 4, 0, 0, 6, 0, 0, 7, 4, 5, 3, 3, 0, 5, 5, 3, 5, 1, 5, 1, 3, 7, 7, 7, 3, 3, 2, 0, 2, 8, 0, 0, 4, 4, 2, 0, 3]","[0, 0, 7, 1, 2, 5, 5, 0, 7, 7, 1, 4, 2, 4, 1, 1, 0, 5, 0, 7, 0, 5, 4, 8, 7, 0, 1, 1, 5, 5, 7, 7, 1, 1, 5, 1, 7, 1, 8, 1, 0, 5, 8, 4, 1, 1, 5, 5, 1, 4, 4, 1, 1, 8, 0, 7, 0, 5, 0, 5, 7, 1, 1, 5, 1, 5, 5, 1, 0, 0, 0, 2, 0, 1, 5, 1, 1, 7, 0, 5, 4, 7, 5, 4, 5, 0, 8, 1, 5, 0, 0, 2, 1, 7, 0, 0, 1, 5, 1, 8, 4, 2, 7, 5, 1, 1, 1, 4, 7, 5, 0, 7, 5, 6, 2, 7, 0, 4, 1, 5, 4, 1, 4, 7, 1, 4, 6, 4, 1, 2, 0, 1, 7, 7, 7, 2, 4, 1, 7, 1, 1, 1, 4, 1, 5, 1, 7, 1, 0, 2, 1, 4, 3, 7, 0, 1, 7, 1, 7, 3, 1, 2, 7, 1, 8, 1, 1, 7, 7, 1, 7, 1, 4, 8, 4, 1, 1, 7, 4, 1, 0, 5, 1, 4, 4, 0, 1, 7, 0, 1, 2, 1, 1, 7, 1, 5, 7, 7, 8, 0, 0, 3, 1, 5, 4, 8, 4, 0, 8, 1, 7, 4, 4, 5, 8, 1, 5, 7, 1, 1, 0, 8, 7, 1, 0, 1, 4, 1, 0, 4, 5, 1, 0, 1, 5, 5, 1, 1, 2, 2, 0, 7, 1, 1, 1, 0, 5, 5, 1, 2, 0, 7, 7, 1, 7, 4, 0, 5, 5, 1, 7, 7, 1, 0, 5, 5, 2, 5, 1, 1, 4, 7, 7, 0, 4, 5, 7, 5, 5, 1, 1, 1, 1, 1, 5, 0, 1, 6, 0, 1, 5, 0, 6, 0, 8, 7, 7, 4, 0, 1, 1, 1, 4, 1, 0, 0, 4, 7, 2, 0, 0, 5, 1, 1, 4, 0, 0, 0, 1, 7, 0, 0, 7, 0, 0, 0, 7, 7, 0, 0, 1, 4, 1, 7, 7, 0, 1, 4, 1, 4, 4, 1, 0, 1, 1, 4, 5, 7, 5, 5, 5, 0, 7, 1, 1, 0, 0, 5, 1, 1, 8, 1, 5, 1, 2, 1, 0, 1, 1, 7, 1, 2, 1, 5, 3, 7, 8, 1, 1, 1, 4, 1, 5, 7, 5, 4, 3, 2, 7, 0, 2, 4, 5, 1, 7, 8, 5, 1, 0, 7, 0, 1, 0, 1, 4, 1, 1, 1, 1, 4, 1, 0, 7, 8, 7, 1, 1, 1, 1, 7, 8, 7, 5, 7, 8, 1, 0, 5, 1, 0, 8, 5, 5, 0, 4, 5, 5, 0, 7, 1, 7, 1, 5, 1, 7, 1, 5, 0, 0, 5, 1, 0, 7, 5, 2, 4, 1, 1, 0, 1, 8, 0, 0, 0, 1, 1, 7, 0, 4, 0, 5, 0, 8, 1, 1, 0, 7, 1, 5, 5, 7, 7, 1, 0, 2, 0, 1, 1, 0, 1, 1, 5, 4, 1]","{0: [0.35555555555555557, 0.41025641025641024, 0.38095238095238093], 1: [0.271523178807947, 0.5, 0.351931330472103], 2: [0.3181818181818182, 0.13725490196078433, 0.1917808219178082], 3: [0.4, 0.07692307692307693, 0.12903225806451613], 4: [0.36, 0.28125, 0.3157894736842105], 5: [0.4583333333333333, 0.5, 0.4782608695652174], 6: [0.0, 0.0, 0.0], 7: [0.4155844155844156, 0.4, 0.40764331210191085], 8: [0.17391304347826086, 0.125, 0.14545454545454545]}",-0.5759978294372559
2,roberta,[],[],39.879,39.879,"[5, 7, 7, 7, 7, 4, 4, 5, 4, 4, 5, 4, 4, 7, 1, 7, 4, 1, 7, 1, 5, 7, 7, 7, 2, 1, 1, 1, 8, 7, 1, 0, 0, 5, 0, 0, 1, 0, 0, 7, 8, 3, 1, 7, 2, 1, 0, 4, 0, 2, 4, 1, 8, 7, 2, 2, 1, 0, 1, 3, 7, 0, 4, 5, 4, 4, 5, 2, 7, 2, 0, 6, 0, 4, 4, 0, 5, 4, 5, 7, 1, 0, 7, 0, 3, 8, 0, 1, 2, 7, 7, 2, 0, 1, 4, 5, 8, 1, 1, 8, 5, 0, 2, 2, 8, 0, 0, 7, 1, 5, 4, 2, 8, 0, 8, 5, 2, 8, 1, 0, 0, 4, 4, 5, 2, 5, 1, 1, 0, 5, 0, 0, 1, 4, 7, 8, 6, 5, 4, 2, 8, 1, 2, 1, 1, 0, 5, 1, 0, 7, 7, 7, 1, 5, 2, 5, 2, 7, 8, 1, 1, 8, 5, 4, 6, 7, 1, 3, 1, 5, 1, 7, 0, 7, 3, 1, 0, 3, 0, 2, 4, 5, 5, 1, 0, 5, 3, 5, 2, 4, 1, 1, 5, 2, 5, 5, 0, 1, 7, 2, 8, 5, 0, 0, 3, 8, 3, 4, 8, 5, 4, 4, 2, 1, 8, 1, 7, 8, 2, 1, 3, 3, 4, 7, 8, 5, 5, 1, 0, 0, 0, 0, 8, 0, 3, 7, 1, 3, 4, 8, 6, 1, 2, 1, 3, 0, 1, 7, 4, 4, 1, 2, 2, 7, 1, 4, 0, 4, 0, 1, 0, 5, 1, 7, 7, 7, 7, 4, 4, 4, 1, 0, 2, 1, 4, 0, 5, 5, 4, 2, 0, 3, 7, 5, 7, 5, 4, 6, 2, 4, 4, 0, 4, 7, 1, 6, 1, 2, 0, 7, 7, 0, 4, 2, 7, 4, 0, 5, 0, 1, 2, 4, 8, 0, 6, 1, 7, 5, 7, 3, 6, 1, 2, 5, 0, 3, 1, 7, 7, 1, 1, 5, 0, 5, 1, 8, 0, 4, 7, 1, 4, 6, 7, 4, 5, 7, 2, 7, 0, 2, 5, 7, 5, 0, 0, 5, 5, 2, 1, 2, 0, 2, 0, 6, 2, 2, 1, 1, 1, 3, 7, 8, 5, 4, 2, 7, 7, 6, 7, 5, 5, 2, 1, 1, 5, 4, 1, 3, 2, 7, 1, 7, 4, 7, 0, 2, 5, 0, 0, 3, 1, 8, 1, 0, 5, 4, 1, 0, 4, 5, 7, 7, 7, 5, 0, 3, 7, 5, 1, 8, 2, 6, 5, 4, 2, 1, 7, 3, 8, 4, 4, 6, 5, 2, 1, 1, 4, 5, 7, 5, 4, 7, 5, 8, 0, 0, 4, 7, 8, 4, 0, 4, 2, 0, 2, 1, 7, 0, 7, 1, 3, 3, 5, 6, 5, 0, 0, 0, 7, 7, 8, 8, 3, 7, 7, 3, 1, 7, 7, 7, 4, 6, 7, 7, 5, 0, 5, 1, 4, 0, 0, 1, 4, 2]","[7, 7, 7, 4, 7, 0, 3, 2, 2, 0, 7, 0, 0, 7, 1, 7, 4, 4, 7, 1, 5, 7, 7, 7, 5, 1, 1, 7, 4, 4, 3, 5, 7, 5, 2, 0, 1, 0, 7, 7, 0, 3, 0, 7, 2, 7, 7, 0, 2, 7, 7, 1, 0, 2, 0, 2, 2, 0, 0, 3, 7, 0, 4, 5, 5, 3, 4, 7, 4, 2, 0, 0, 0, 7, 7, 7, 7, 5, 3, 7, 4, 7, 1, 2, 0, 2, 0, 0, 0, 4, 7, 5, 0, 7, 4, 7, 7, 2, 4, 1, 5, 0, 7, 4, 0, 2, 4, 7, 7, 2, 8, 1, 0, 3, 4, 2, 5, 4, 1, 2, 3, 7, 5, 5, 4, 0, 1, 3, 7, 5, 0, 0, 7, 1, 0, 0, 3, 5, 4, 1, 2, 1, 2, 1, 4, 0, 5, 1, 0, 7, 2, 7, 0, 2, 2, 5, 7, 7, 7, 0, 4, 4, 5, 0, 0, 7, 7, 4, 1, 2, 7, 5, 7, 2, 4, 1, 2, 3, 4, 2, 4, 7, 1, 7, 7, 1, 1, 2, 0, 3, 3, 0, 5, 2, 7, 0, 7, 1, 5, 2, 2, 5, 2, 0, 1, 2, 3, 2, 1, 7, 0, 1, 1, 1, 7, 2, 0, 2, 3, 0, 3, 3, 4, 7, 4, 5, 5, 4, 0, 0, 7, 0, 2, 0, 4, 2, 1, 4, 0, 7, 0, 1, 0, 7, 5, 1, 5, 7, 3, 3, 2, 5, 2, 7, 1, 7, 0, 7, 0, 0, 0, 5, 5, 5, 2, 7, 7, 4, 4, 4, 0, 0, 7, 0, 1, 0, 0, 5, 4, 5, 0, 3, 7, 5, 1, 2, 5, 0, 2, 2, 3, 2, 4, 5, 0, 2, 1, 2, 0, 0, 7, 0, 4, 2, 2, 4, 4, 0, 0, 1, 1, 4, 7, 0, 2, 4, 7, 5, 0, 3, 0, 4, 2, 0, 0, 5, 0, 7, 5, 4, 0, 2, 0, 5, 3, 5, 0, 1, 7, 7, 4, 1, 1, 2, 2, 7, 0, 7, 8, 4, 0, 7, 0, 0, 7, 5, 5, 0, 7, 2, 4, 2, 0, 0, 5, 2, 0, 1, 1, 3, 7, 0, 2, 4, 5, 3, 7, 7, 7, 5, 4, 8, 7, 0, 7, 7, 7, 1, 0, 0, 7, 5, 0, 7, 0, 7, 5, 2, 1, 4, 1, 8, 7, 2, 0, 4, 1, 0, 2, 5, 7, 1, 7, 5, 0, 2, 7, 7, 1, 1, 2, 7, 5, 4, 4, 0, 0, 1, 0, 0, 7, 2, 2, 2, 5, 1, 2, 1, 2, 5, 1, 4, 5, 1, 0, 1, 4, 5, 5, 3, 0, 0, 5, 0, 7, 8, 0, 5, 7, 7, 4, 0, 5, 5, 5, 5, 0, 0, 7, 7, 0, 0, 4, 7, 4, 7, 5, 7, 7, 7, 3, 7, 4, 7, 5, 2, 5, 5, 4, 0, 0, 1, 3, 0]","{0: [0.39090909090909093, 0.5512820512820513, 0.4574468085106383], 1: [0.4909090909090909, 0.32926829268292684, 0.39416058394160586], 2: [0.26865671641791045, 0.35294117647058826, 0.3050847457627119], 3: [0.32142857142857145, 0.34615384615384615, 0.3333333333333333], 4: [0.3448275862068966, 0.3125, 0.32786885245901637], 5: [0.5, 0.48484848484848486, 0.49230769230769234], 6: [-1, 0.0, 0.0], 7: [0.4392523364485981, 0.5875, 0.5026737967914439], 8: [0.2, 0.03125, 0.05405405405405406]}",-0.5833818912506104
3,roberta,[],"[1, 1, 2, 3, 1.33, 1.33, 5, 1, 2.5]",38.866,38.866,"[5, 5, 4, 4, 7, 5, 0, 0, 8, 2, 5, 1, 7, 7, 8, 5, 7, 2, 7, 1, 1, 1, 0, 4, 2, 7, 5, 3, 4, 1, 6, 1, 1, 1, 2, 4, 5, 4, 8, 1, 2, 1, 7, 0, 2, 0, 4, 1, 7, 0, 1, 0, 8, 4, 1, 1, 5, 5, 4, 1, 4, 3, 6, 0, 5, 0, 0, 0, 1, 8, 2, 7, 4, 0, 1, 0, 5, 7, 5, 7, 0, 5, 0, 4, 7, 2, 0, 2, 1, 5, 1, 5, 7, 1, 5, 6, 0, 1, 7, 5, 5, 0, 7, 1, 5, 1, 0, 4, 8, 8, 0, 2, 1, 4, 5, 7, 5, 1, 5, 6, 7, 5, 7, 2, 4, 5, 0, 1, 7, 5, 5, 8, 7, 1, 4, 1, 7, 1, 1, 0, 3, 4, 0, 5, 4, 7, 5, 7, 7, 7, 7, 1, 2, 1, 4, 2, 0, 5, 7, 5, 0, 7, 8, 2, 0, 0, 1, 2, 4, 3, 4, 0, 7, 4, 6, 2, 5, 5, 1, 2, 1, 2, 3, 4, 7, 5, 7, 5, 7, 7, 2, 8, 4, 7, 3, 1, 2, 7, 3, 1, 6, 8, 8, 2, 4, 2, 7, 5, 4, 2, 1, 1, 8, 0, 0, 5, 1, 0, 5, 0, 2, 0, 3, 0, 0, 4, 7, 8, 2, 8, 7, 1, 2, 0, 1, 2, 3, 4, 3, 0, 8, 0, 4, 5, 1, 7, 1, 5, 4, 5, 7, 0, 1, 3, 2, 4, 5, 3, 1, 2, 7, 2, 5, 4, 3, 0, 2, 2, 4, 1, 3, 2, 5, 0, 0, 0, 8, 6, 3, 2, 2, 0, 4, 1, 2, 5, 7, 3, 7, 7, 0, 5, 7, 7, 7, 0, 1, 5, 7, 0, 7, 5, 1, 0, 2, 1, 1, 0, 1, 1, 3, 6, 0, 0, 0, 7, 2, 2, 5, 0, 5, 6, 6, 7, 7, 5, 4, 7, 4, 2, 0, 0, 4, 7, 4, 8, 5, 7, 8, 4, 4, 1, 3, 0, 5, 7, 7, 2, 4, 3, 5, 5, 7, 6, 1, 0, 4, 3, 0, 4, 3, 1, 7, 0, 7, 1, 0, 1, 4, 7, 0, 4, 2, 8, 1, 3, 5, 1, 7, 1, 7, 1, 7, 4, 4, 1, 7, 2, 5, 0, 4, 5, 4, 7, 0, 7, 0, 1, 7, 0, 0, 4, 8, 2, 0, 4, 1, 4, 7, 1, 1, 4, 8, 2, 4, 7, 1, 5, 1, 0, 5, 1, 1, 7, 4, 4, 1, 5, 2, 8, 6, 7, 4, 1, 1, 8, 8, 0, 0, 4, 7, 7, 1, 7, 1, 3, 1, 6, 0, 4, 5, 5, 5, 0, 1, 5, 2, 3, 6, 2, 7, 8, 2, 4, 4, 7, 8, 7, 0, 1, 8, 8, 0, 4, 2, 7, 6, 4, 4, 5, 8, 0, 5, 3, 0, 7, 0, 8, 2, 3, 0, 1, 8, 1]","[5, 5, 4, 1, 7, 7, 4, 1, 1, 2, 5, 1, 2, 4, 7, 5, 4, 8, 7, 4, 7, 5, 0, 4, 5, 7, 5, 1, 1, 1, 4, 4, 1, 1, 3, 5, 5, 7, 1, 1, 2, 1, 5, 2, 4, 1, 5, 1, 7, 1, 3, 8, 4, 2, 2, 1, 1, 3, 4, 1, 4, 5, 7, 0, 5, 4, 7, 1, 1, 8, 2, 7, 2, 1, 0, 0, 1, 7, 5, 2, 4, 5, 0, 4, 7, 2, 0, 2, 1, 5, 0, 0, 1, 1, 2, 0, 4, 1, 4, 1, 5, 4, 7, 1, 0, 1, 4, 7, 4, 2, 0, 1, 1, 1, 0, 7, 4, 0, 5, 7, 7, 5, 8, 7, 3, 5, 7, 4, 5, 5, 5, 8, 7, 0, 1, 1, 7, 1, 8, 4, 3, 2, 7, 5, 4, 2, 5, 1, 7, 7, 7, 4, 2, 4, 7, 4, 0, 0, 4, 5, 5, 7, 7, 1, 4, 4, 7, 5, 0, 4, 4, 8, 7, 1, 0, 2, 2, 4, 4, 4, 4, 1, 1, 4, 0, 4, 7, 2, 7, 2, 8, 8, 4, 1, 4, 4, 7, 7, 4, 3, 2, 8, 4, 5, 2, 5, 3, 7, 4, 5, 4, 4, 4, 0, 0, 5, 7, 4, 7, 7, 4, 2, 3, 1, 8, 4, 1, 5, 0, 5, 4, 7, 0, 7, 7, 1, 4, 7, 1, 1, 2, 2, 4, 2, 1, 7, 3, 4, 4, 4, 7, 0, 2, 7, 6, 4, 2, 4, 1, 2, 7, 8, 2, 4, 4, 0, 5, 2, 5, 1, 5, 5, 5, 0, 0, 4, 4, 4, 4, 2, 2, 7, 5, 1, 2, 5, 7, 4, 4, 5, 0, 5, 2, 7, 7, 7, 1, 4, 7, 2, 7, 4, 1, 7, 2, 5, 1, 4, 5, 7, 3, 1, 2, 0, 5, 7, 1, 7, 1, 2, 0, 7, 0, 7, 1, 5, 7, 7, 4, 4, 4, 1, 4, 1, 4, 0, 5, 5, 4, 1, 2, 4, 1, 7, 1, 7, 0, 7, 4, 3, 5, 5, 2, 2, 7, 8, 4, 4, 0, 7, 3, 1, 7, 2, 7, 7, 4, 1, 0, 7, 8, 7, 5, 2, 7, 3, 5, 3, 7, 1, 7, 1, 4, 7, 1, 5, 7, 4, 5, 0, 3, 5, 7, 7, 7, 7, 8, 7, 4, 2, 0, 3, 4, 5, 2, 4, 7, 4, 7, 5, 4, 2, 1, 2, 1, 7, 8, 5, 4, 3, 5, 7, 4, 7, 4, 4, 1, 5, 5, 2, 0, 6, 1, 4, 7, 8, 0, 4, 2, 4, 7, 8, 1, 1, 7, 0, 4, 0, 0, 4, 5, 5, 2, 4, 1, 3, 7, 3, 8, 0, 7, 4, 1, 7, 4, 7, 7, 0, 0, 5, 6, 2, 7, 2, 4, 7, 5, 4, 2, 5, 0, 7, 2, 2, 4, 7, 4, 1, 8, 4, 0, 1, 4, 2]","{0: [0.44680851063829785, 0.2692307692307692, 0.336], 1: [0.42857142857142855, 0.4024390243902439, 0.41509433962264153], 2: [0.24561403508771928, 0.27450980392156865, 0.25925925925925924], 3: [0.3684210526315789, 0.2692307692307692, 0.3111111111111111], 4: [0.26666666666666666, 0.4375, 0.33136094674556216], 5: [0.5373134328358209, 0.5454545454545454, 0.5413533834586466], 6: [0.0, 0.0, 0.0], 7: [0.48484848484848486, 0.6, 0.5363128491620112], 8: [0.25, 0.15625, 0.19230769230769232]}",-0.5763804912567139
